Total.Household.Income,Region,Total.Food.Expenditure,Household.Head.Sex,Household.Head.Age,Type.of.Household,Total.Number.of.Family.members,House.Floor.Area,House.Age,Number.of.bedrooms,Electricity
48742,XII - SOCCSKSARGEN,158244,Male,60,Single Family,3,13,19,2,1
48364,XII - SOCCSKSARGEN,30150,Male,48,Extended Family,4,12,31,1,0
130290,XII - SOCCSKSARGEN,71880,Male,38,Single Family,4,48,35,2,1
153011,XII - SOCCSKSARGEN,71106,Male,62,Single Family,4,17,23,2,1
68592,XII - SOCCSKSARGEN,70299,Male,49,Extended Family,7,22,19,2,1
134802,XII - SOCCSKSARGEN,70114,Female,56,Extended Family,8,54,12,2,1
73299,XII - SOCCSKSARGEN,41463,Female,50,Single Family,3,7,28,1,1
64992,XII - SOCCSKSARGEN,47328,Female,48,Single Family,3,14,9,2,1
113790,XII - SOCCSKSARGEN,40957,Male,36,Single Family,5,10,25,1,1
131014,XII - SOCCSKSARGEN,61192,Male,60,Single Family,2,18,31,2,1
75087,XII - SOCCSKSARGEN,35092,Female,53,Single Family,4,50,25,2,0
68437,XII - SOCCSKSARGEN,39489,Male,58,Single Family,2,48,31,1,1
35353,XII - SOCCSKSARGEN,37778,Male,58,Single Family,2,7,12,0,0
64503,XII - SOCCSKSARGEN,35429,Male,77,Single Family,3,16,21,1,0
73887,XII - SOCCSKSARGEN,46332,Female,77,Extended Family,9,17,15,1,0
81562,XII - SOCCSKSARGEN,47984,Male,38,Single Family,6,11,3,0,0
69496,XII - SOCCSKSARGEN,44332,Male,35,Single Family,8,11,1,0,0
85365,XII - SOCCSKSARGEN,41400,Male,58,Single Family,4,7,15,0,0
86284,XII - SOCCSKSARGEN,43885,Male,34,Two or More Nonrelated Persons/Members,3,19,10,1,1
82480,XII - SOCCSKSARGEN,58452,Male,80,Single Family,2,14,20,2,1
68204,XII - SOCCSKSARGEN,45411,Female,71,Extended Family,5,22,51,1,1
75643,XII - SOCCSKSARGEN,46694,Male,56,Single Family,2,26,5,2,1
62227,XII - SOCCSKSARGEN,49677,Male,39,Single Family,5,26,14,2,1
94071,XII - SOCCSKSARGEN,40489,Male,24,Single Family,5,45,17,2,1
227882,XII - SOCCSKSARGEN,172188,Male,65,Single Family,8,52,15,3,1
236450,XII - SOCCSKSARGEN,54010,Male,49,Single Family,5,30,11,2,1
68903,XII - SOCCSKSARGEN,30363,Female,66,Single Family,2,20,26,1,1
125157,XII - SOCCSKSARGEN,50812,Male,42,Single Family,4,12,13,2,1
186189,XII - SOCCSKSARGEN,75362,Male,51,Extended Family,11,13,2,2,0
72629,XII - SOCCSKSARGEN,43692,Male,66,Single Family,5,20,2,2,0
82996,XII - SOCCSKSARGEN,51243,Male,30,Single Family,7,54,5,2,0
86280,XII - SOCCSKSARGEN,60838,Male,45,Single Family,7,11,3,2,0
67911,XII - SOCCSKSARGEN,58776,Male,42,Single Family,7,15,13,1,0
45773,XII - SOCCSKSARGEN,32044,Female,68,Single Family,3,20,23,1,0
124951,XII - SOCCSKSARGEN,103821,Male,46,Extended Family,14,25,17,2,1
72843,XII - SOCCSKSARGEN,51830,Male,43,Single Family,6,20,11,1,1
79663,XII - SOCCSKSARGEN,78678,Male,54,Extended Family,6,56,15,1,1
166447,XII - SOCCSKSARGEN,55602,Male,41,Single Family,5,52,30,3,1
52704,XII - SOCCSKSARGEN,39820,Male,53,Single Family,2,16,35,1,0
73570,XII - SOCCSKSARGEN,50873,Female,66,Extended Family,5,27,42,1,0
61159,XII - SOCCSKSARGEN,75699,Male,46,Single Family,11,15,20,1,0
154909,XII - SOCCSKSARGEN,98094,Male,40,Extended Family,10,20,33,2,0
242742,XII - SOCCSKSARGEN,66845,Male,42,Single Family,7,54,14,2,0
164157,XII - SOCCSKSARGEN,89919,Male,34,Extended Family,4,27,7,2,0
126407,XII - SOCCSKSARGEN,104597,Male,40,Single Family,10,11,21,1,0
169695,XII - SOCCSKSARGEN,89046,Male,65,Extended Family,9,24,10,3,1
120390,XII - SOCCSKSARGEN,90204,Male,54,Extended Family,6,38,15,2,1
54971,XII - SOCCSKSARGEN,55614,Male,53,Extended Family,7,52,8,2,0
111494,XII - SOCCSKSARGEN,73394,Male,64,Extended Family,5,27,10,1,0
39157,XII - SOCCSKSARGEN,71982,Male,61,Single Family,2,32,18,2,0
249127,XII - SOCCSKSARGEN,61156,Male,51,Single Family,3,54,29,2,1
58947,XII - SOCCSKSARGEN,78344,Male,70,Extended Family,6,27,14,2,0
73769,XII - SOCCSKSARGEN,80547,Male,27,Single Family,5,10,3,1,1
148650,XII - SOCCSKSARGEN,50366,Male,65,Extended Family,4,32,15,2,1
65948,XII - SOCCSKSARGEN,70046,Male,41,Single Family,7,11,14,1,1
120515,XII - SOCCSKSARGEN,57089,Male,32,Single Family,5,27,10,1,1
73463,XII - SOCCSKSARGEN,42077,Male,45,Extended Family,8,14,30,1,1
